p_title,p_name,p_price,p_detail,p_publisher,p_regdate,p_file,t_no
"순례, 세상을 걷다",오동호,"16,000",프랑스 르퓌에서 스페인 산티아고~포르투갈 리스본까지-,여행,2019-05-03,800x01.jpg,4
알고리즘 트레이닝,안티,25000,트레이닝다란ㅇ,IT,2019-11-23,800x0.jpg,1
날개의 발명,수 몽크,17000,"미국에서 가장 악명 높은 여성”이라는 평가를 받은 19세기 노예폐지운동가이자 여성 권익 선구자였던 실존 인물 사라 그림케의 삶을 바탕으로 한 『날개의 발명』은 미국 역사상 가장 파괴적인 시대, 세상을 거슬러 자신의 목소리를 내려던 사라 그림케와 그녀의 집안 노예였던 헤티 핸드풀 두 여성의 놀라운 삶의 여정을 그린 작품이다. ",인문,2019-09-27,800x02.jpg,2
어린왕자,생텍쥐페리,6000,사막이 아름다운 것은 우물을 숨기고 있기 때문이야.” “네가 네 시에 온다면 나는 세 시부터 행복해지기 시작할 거야.”,문학,2017-09-22,800x03.jpg,3
홍길동전,정종목,9900,"재미있다! 우리고전'시리즈는 어린이와 청소년이 부담없이 읽고 폭넓게 공감할 수 있는 시리즈로, 원전의 뜻과 느낌을 최대한 살려내는데 중점을 두었다.",문학,2003-04-25,800x04.jpg,3
사람은 무엇으로 사는가,레프 톨스토이,7200,"사람은 무엇으로 사는가 
사랑이 있는 곳에 신도 있다 
사람에게는 얼마나 많은 땅이 필요한가? 
촛불 
세 가지 질문 ",문학,2015-06-20,52785829.jpg,3
숨을 참던 나날,리디아 유크나비치,17000,"생을 혐오할 조건을 타고났으나 끝내 자신의 힘으로 가족을 이루고 사랑을 노래하는 여자, 리디아 유크나비치. 그는 자신의 삶을 기록한 『숨을 참던 나날』을 통해 우리에게 깊고도 강렬한 희망을 보여준다. 리디아는 이 책으로 PNBA상과 오리건 도서상을 수상했으며 펜 센터 USA상 최종 후보에 올랐다.",인문,2019-09-23,800x05.jpg,2
군주론,니콜로마키아벨리,10000,"마키아벨리는 「군주론」에서 정치 행위가 종교적 규율이나 전통적인 윤리적 가치로부터 자유로워야 한다고 주장함으로써 근대 현실주의 정치사상을 최초로 주창한 인물로 평가받고 있다. 역사상 많은 정치사상가들의 편력이 보여주듯이, 정치사상가로서 마키아벨리가 얻게 된 불후의 명성은 그가 공직생활에서 추방된 후 자신의 의사에 반해 얻게 된 여가, 즉 강제된 칩거생활을 활용하여 집필한 저작들에서 유래한다.",인문,2015-02-10,800x06.jpg,2
감사가 이끄는 여행,황미연,16000,"결혼 11년차 부부가 초등학교 4학년과 2학년, 그리고 두 돌을 맞이하는 세 딸과 함께 제주도 한 달 살이라는 오래 묵힌 꿈을 이루기 위해 비행기에 올랐다. 비양도가 바라다 보이는 서부 해안가 마당이 있는 예쁜 집에 자리를 잡은 이들은 생활과 여행의 중간에서 제주도에서의 삶을 살아냈다. 욕심 부리지 않고 일상을 보내겠다는 원래 생각과는 달리 많은 추억을 얻어 왔다는 이들의 말대로 책에는 정말 다양한 이야기가 담겨져 있다. ",여행,2019-10-06,800x07.jpg,4
잠깐 다녀오겠습니다,임운석,15000,"돈도, 시간도, 마음에도 여유가 부족한 사람들을 위한 짧은 ‘걷기 여행’을 소개한다. 걷기 여행은 여행 일정에 매이지 않고 천천히 산보하듯 걸으며 휴식하듯 즐기는 여행을 말한다. 빡빡한 일정, 복잡한 준비 과정, 넉넉한 여행 예산 이 모든 것으로부터 자유로운 여행이기도 하다. ",여행,2019-09-20,800x08.jpg,4
소프트스킬,존손메즈,25000,“소프트웨어 개발자로 사는 동안 다양한 여정을 거쳤다. 길을 제대로 찾을 때도 있었고 그렇지 못할 때도 있었다. 이 과정에서 도움이나 안내는 거의 받지 못했다. 누군가 나에게 길을 제시한 적도 없었다. 인생 전반에 걸쳐 소프트웨어 개발자로 성공할 수 있는 방법을 알려준 사람도 만나지 못했다.”,IT,2015-11-27,66449912.jpg,1
오픈소스로 미래를 연마하라,브라수어,18000,자유 소프트웨어·오픈 소스(FOSS)는 오늘날 인터넷 세상을 움직이는 소프트웨어 개발 기술의 근간을 이루며 바로 여러분과 같은 사람들이 만들고 유지 보수한다. 이 책은 독자들의 기술 숙련도나 전문 분야에 상관없이 독자들이 FOSS 프로젝트에 어떻게 기여할 수 있는지 알려 준다. ,IT,2019-10-22,800x09.jpg,1
